NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
,141515,14.25416667,0223706,22.61833333,NO DAMAGE,~50,,,50,,,
,141550,14.26388889,0223723,22.62305556,NO DAMAGE,~50,,,50,,,
GIMMEZA,141659,14.28305556,0223523,22.58972222,NO DAMAGE,,,,,,,
SANIA,141821,14.30583333,0223537,22.59361111,NO DAMAGE,~25,,,25,,,
ABU GUJA,141735,14.29305556,0223414,22.57055556,NO DAMAGE,~100,,,100,,,
,142008,14.33555556,0223559,22.59972222,NO DAMAGE,~75,,,75,,,
BIRDI,142037,14.34361111,0223520,22.58888889,NO DAMAGE,~100,,,100,,,
,141933,14.32583333,0223431,22.57527778,NO DAMAGE,~100,,,100,,,
ANDUSA,141922,14.32277778,0223334,22.55944444,NO DAMAGE,,,,,,,
HAJAR TEWAR,142212,14.37000000,0223426,22.57388889,DAMAGED,~25 of ~75,2010,25,75,2010,2010,
BATRO,142246,14.37944444,0223601,22.60027778,NO DAMAGE,,,,,,,
,142345,14.39583333,0223516,22.58777778,NO DAMAGE,,,,,,,
ADARIB,142314,14.38722222,0223345,22.56250000,NO DAMAGE,,,,,,,
HAJAR LABEL,142346,14.39611111,0223311,22.55305556,NO DAMAGE,~200,,,200,,,
AGARA,140422,14.07277778,0223341,22.56138889,DESTROYED,~50 of ~50,2009,50,50,2009,2009,
ABILI JIAM,140517,14.08805556,0222938,22.49388889,DAMAGED,~10 of ~50,2006,10,50,2006,2006,
,140528,14.09111111,0223010,22.50277778,DESTROYED,~25 of ~50,2006,25,50,2006,2006,
,140553,14.09805556,0223255,22.54861111,DESTROYED,~100 of ~100,2006,100,100,2006,2006,
MAMADA,141458,14.24944444,0223201,22.53361111,NO DAMAGE,~75,,,75,,,
ATMUR,141538,14.26055556,0222856,22.48222222,NO DAMAGE,~100,,,100,,,
DOUHOUCH,141603,14.26750000,0223115,22.52083333,NO DAMAGE,,,,,,,
FAYAFI,141635,14.27638889,0223209,22.53583333,NO DAMAGE,~150,,,150,,,
SANGIR,141712,14.28666667,0222819,22.47194444,NO DAMAGE,~150,,,150,,,
,141731,14.29194444,0223026,22.50722222,NO DAMAGE,~75,,,75,,,
,141754,14.29833333,0223204,22.53444444,NO DAMAGE,,,,,,,
,141817,14.30472222,0223144,22.52888889,NO DAMAGE,~75,,,75,,,
,141826,14.30722222,0223108,22.51888889,NO DAMAGE,,,,,,,
KAGHIGGUM,141749,14.29694444,0222928,22.49111111,NO DAMAGE,~50,,,50,,,
ATONGOUR,141835,14.30972222,0222814,22.47055556,DAMAGED,~25 of ~200,2003/2004,25,200,2003,2004,
AROUA,142029,14.34138889,0222843,22.47861111,DAMAGED,~10 of ~75,,10,75,,,
,142107,14.35194444,0222921,22.48916667,DAMAGED,~25 of ~150,2003/2004,25,150,2003,2004,
ADARIB ,142215,14.37083333,0223243,22.54527778,DAMAGED,~25 of ~200,2003/2004,25,200,2003,2004,
HIMMEDA,142239,14.37750000,0223126,22.52388889,NO DAMAGE,~300,,,300,,,
HAJAR ASSAL,142201,14.36694444,0223016,22.50444444,NO DAMAGE,,,,,,,
,142232,14.37555556,0222953,22.49805556,NO DAMAGE,~50,,,50,,,
,142412,14.40333333,0222931,22.49194444,NO DAMAGE,,,,,,,
KORONJA,142409,14.40250000,0222806,22.46833333,DAMAGED,~50 of ~100,2005,50,100,2005,2005,
,142038,14.34388889,0224052,22.68111111,DAMAGED,~25 of ~50,2003,25,50,2003,2003,
BARDANI,141915,14.32083333,0224038,22.67722222,DAMAGED,~50 of ~150,2003,50,150,2003,2003,
,141833,14.30916667,0223927,22.65750000,NO DAMAGE,~100,,,100,,,
